run_id,window_id,bar_offset,equity
BTC_1d_trend_following,5,14,1122.5490633965135
BTC_1d_trend_following,5,15,1120.7425060403405
BTC_1d_trend_following,5,16,1119.0513539929175
BTC_1d_trend_following,5,17,1119.4764965383715
BTC_1d_trend_following,5,18,1124.58855376667
BTC_1d_trend_following,5,19,1142.0131635906068
BTC_1d_trend_following,6,0,973.4529703861449
BTC_1d_trend_following,6,1,978.3091243069224
BTC_1d_trend_following,6,2,976.3259383994913
BTC_1d_trend_following,6,3,975.6275939961984
BTC_1d_trend_following,6,4,982.5510822651199
BTC_1d_trend_following,6,5,983.5547277298751
BTC_1d_trend_following,6,6,992.8240290929258
BTC_1d_trend_following,6,7,991.4121760360863
BTC_1d_trend_following,6,8,990.6999822019261
BTC_1d_trend_following,6,9,990.7241748786311
BTC_1d_trend_following,6,10,980.5128492527224
BTC_1d_trend_following,6,11,985.7861515374099
BTC_1d_trend_following,6,12,988.9092858526262
BTC_1d_trend_following,6,13,987.2613788886613
BTC_1d_trend_following,6,14,993.1118868838652
BTC_1d_trend_following,6,15,987.3493841329071
BTC_1d_trend_following,6,16,983.6845442306002
BTC_1d_trend_following,6,17,977.0113099181743
BTC_1d_trend_following,6,18,975.9204111331679
BTC_1d_trend_following,6,19,975.9204111331679
BTC_1d_trend_following,7,0,995.0445907216529
BTC_1d_trend_following,7,1,995.0445907216529
BTC_1d_trend_following,7,2,995.0445907216529
BTC_1d_trend_following,7,3,995.0445907216529
BTC_1d_trend_following,7,4,995.0445907216529
BTC_1d_trend_following,7,5,995.0445907216529
BTC_1d_trend_following,7,6,995.0445907216529
BTC_1d_trend_following,7,7,995.0445907216529
BTC_1d_trend_following,7,8,995.0445907216529
BTC_1d_trend_following,7,9,995.0445907216529
BTC_1d_trend_following,7,10,995.0445907216529
BTC_1d_trend_following,7,11,995.0445907216529
BTC_1d_trend_following,7,12,995.0445907216529
BTC_1d_trend_following,7,13,995.0445907216529
BTC_1d_trend_following,7,14,995.0445907216529
BTC_1d_trend_following,7,15,995.0445907216529
BTC_1d_trend_following,7,16,995.0445907216529
BTC_1d_trend_following,7,17,995.0445907216529
BTC_1d_trend_following,7,18,995.0445907216529
BTC_1d_trend_following,7,19,995.0445907216529
BTC_1d_trend_following,8,0,976.8873536505453
BTC_1d_trend_following,8,1,976.8873536505453
BTC_1d_trend_following,8,2,976.8873536505453
BTC_1d_trend_following,8,3,976.8873536505453
BTC_1d_trend_following,8,4,976.8873536505453
BTC_1d_trend_following,8,5,976.8873536505453
BTC_1d_trend_following,8,6,974.2271803333081
BTC_1d_trend_following,8,7,977.6300335087774
BTC_1d_trend_following,8,8,972.6992836241999
BTC_1d_trend_following,8,9,975.6648046269237
BTC_1d_trend_following,8,10,975.8627465397576
BTC_1d_trend_following,8,11,976.775892909615
BTC_1d_trend_following,8,12,977.0254648718069
BTC_1d_trend_following,8,13,981.3480384296295
BTC_1d_trend_following,8,14,978.223859247279
BTC_1d_trend_following,8,15,976.1257872104777
BTC_1d_trend_following,8,16,971.2403338754146
BTC_1d_trend_following,8,17,974.8421711852111
BTC_1d_trend_following,8,18,974.3605846844443
BTC_1d_trend_following,8,19,973.3671070887225
BTC_1d_trend_following,9,0,993.4362027534694
BTC_1d_trend_following,9,1,994.2709952502506
BTC_1d_trend_following,9,2,993.3869621421767
BTC_1d_trend_following,9,3,995.764873329184
BTC_1d_trend_following,9,4,988.3192825633087
BTC_1d_trend_following,9,5,988.7493993029499
BTC_1d_trend_following,9,6,989.7592421728766
BTC_1d_trend_following,9,7,988.6990918117459
BTC_1d_trend_following,9,8,989.4488621863619
BTC_1d_trend_following,9,9,989.7669565353124
BTC_1d_trend_following,9,10,989.1776284858249
BTC_1d_trend_following,9,11,988.7768099099028
BTC_1d_trend_following,9,12,992.6646844421991
BTC_1d_trend_following,9,13,988.3973289322075
BTC_1d_trend_following,9,14,988.4599465762346
BTC_1d_trend_following,9,15,987.3822912375348
BTC_1d_trend_following,9,16,987.3822912375348
BTC_1d_trend_following,9,17,987.3822912375348
BTC_1d_trend_following,9,18,987.3822912375348
BTC_1d_trend_following,9,19,987.3822912375348
BTC_1d_trend_following,10,0,987.3822912375348
BTC_1d_trend_following,10,1,987.3822912375348
BTC_1d_trend_following,10,2,987.3822912375348
BTC_1d_trend_following,10,3,987.3822912375348
BTC_1d_trend_following,10,4,987.3822912375348
BTC_1d_trend_following,10,5,987.3822912375348
BTC_1d_trend_following,10,6,987.3822912375348
BTC_1d_trend_following,10,7,987.3822912375348
BTC_1d_trend_following,10,8,987.3822912375348
BTC_1d_trend_following,10,9,987.3822912375348
BTC_1d_trend_following,10,10,987.3822912375348
BTC_1d_trend_following,10,11,987.3822912375348
BTC_1d_trend_following,10,12,987.3822912375348
BTC_1d_trend_following,10,13,987.3822912375348
BTC_1d_trend_following,10,14,987.3822912375348
BTC_1d_trend_following,10,15,987.3822912375348
BTC_1d_trend_following,10,16,987.3822912375348
BTC_1d_trend_following,10,17,987.3822912375348
BTC_1d_trend_following,10,18,987.3822912375348
BTC_1d_trend_following,10,19,987.3822912375348
BTC_1d_trend_following,11,0,987.7829730521969
BTC_1d_trend_following,11,1,987.7829730521969
BTC_1d_trend_following,11,2,987.7829730521969
BTC_1d_trend_following,11,3,987.7829730521969
BTC_1d_trend_following,11,4,987.7829730521969
BTC_1d_trend_following,11,5,987.7829730521969
BTC_1d_trend_following,11,6,987.7829730521969
BTC_1d_trend_following,11,7,987.7829730521969
BTC_1d_trend_following,11,8,987.7829730521969
BTC_1d_trend_following,11,9,987.7829730521969
BTC_1d_trend_following,11,10,987.7829730521969
BTC_1d_trend_following,11,11,987.7829730521969
BTC_1d_trend_following,11,12,987.7829730521969
BTC_1d_trend_following,11,13,987.7829730521969
BTC_1d_trend_following,11,14,982.2774217862067
BTC_1d_trend_following,11,15,981.6770961344694
BTC_1d_trend_following,11,16,984.783351317911
BTC_1d_trend_following,11,17,981.5353292979754
BTC_1d_trend_following,11,18,986.128857098998
BTC_1d_trend_following,11,19,986.3545195555951
BTC_1d_trend_following,12,0,1001.7987581156357
BTC_1d_trend_following,12,1,1005.3149590218047
BTC_1d_trend_following,12,2,1013.8469551907881
BTC_1d_trend_following,12,3,1015.9971686224237
BTC_1d_trend_following,12,4,1016.7354002317401
BTC_1d_trend_following,12,5,1044.2206400650243
BTC_1d_trend_following,12,6,1051.836410964231
BTC_1d_trend_following,12,7,1056.9566982404617
BTC_1d_trend_following,12,8,1053.8809713600788
BTC_1d_trend_following,12,9,1051.5621417563661
BTC_1d_trend_following,12,10,1053.2499110465742
BTC_1d_trend_following,12,11,1057.2231975293803
BTC_1d_trend_following,12,12,1056.7662905715697
BTC_1d_trend_following,12,13,1058.2402531266332
BTC_1d_trend_following,12,14,1065.2212127169817
BTC_1d_trend_following,12,15,1060.935789835124
BTC_1d_trend_following,12,16,1058.928024917505
BTC_1d_trend_following,12,17,1062.0117896450738
BTC_1d_trend_following,12,18,1061.5635457003411
BTC_1d_trend_following,12,19,1061.8690732028176
BTC_1d_trend_following,13,0,1075.8712709288573
BTC_1d_trend_following,13,1,1075.4620551976827
BTC_1d_trend_following,13,2,1082.5332172953395
BTC_1d_trend_following,13,3,1083.3273565973043
