asset,timeframe,strategy,verdict,windows_total,holdout_pass_rate,median_net_return
BTC,1d,trend_following,unstable,43,0.9069767441860465,-0.5230467294548248
BTC,1d,breakout,unstable,43,0.9069767441860465,-0.14461207933034076
BTC,1d,mean_reversion,weak,43,0.8837209302325582,-0.6805979095869361
BTC,1d,grid,weak,43,0.0,0.0
BTC,1d,ema_crossover,unstable,43,0.8837209302325582,-0.6778663172379539
BTC,1d,donchian_breakout,unstable,43,0.9069767441860465,-0.14461207933034076
BTC,1d,rsi_mean_reversion,weak,43,0.9069767441860465,-0.3585746471680977
BTC,1d,bollinger_mean_reversion,weak,43,0.8372093023255814,-0.3585746471680977
BTC,1d,atr_breakout,weak,43,0.5813953488372093,0.0
BTC,4h,trend_following,unstable,19,1.0,0.12983790154130476
BTC,4h,breakout,weak,19,0.8947368421052632,-1.9452580015384
BTC,4h,mean_reversion,weak,19,0.8947368421052632,-1.1912285069721293
BTC,4h,grid,weak,19,0.0,0.0
BTC,4h,ema_crossover,unstable,19,0.9473684210526315,-0.43767649428075406
BTC,4h,donchian_breakout,weak,19,0.8947368421052632,-2.1905502316289356
BTC,4h,rsi_mean_reversion,weak,19,0.8947368421052632,-1.758786911823745
BTC,4h,bollinger_mean_reversion,weak,19,0.9473684210526315,-0.9697206235655244
BTC,4h,atr_breakout,weak,19,1.0,-0.5476566255380476
BTC,1h,trend_following,weak,7,1.0,-2.909952883960841
BTC,1h,breakout,weak,7,1.0,-1.29902384422835
BTC,1h,mean_reversion,weak,7,0.7142857142857143,-4.019475385114743
BTC,1h,grid,weak,7,0.0,0.0
BTC,1h,ema_crossover,weak,7,0.7142857142857143,-3.1619144870061175
BTC,1h,donchian_breakout,weak,7,1.0,-1.4202059200951453
BTC,1h,rsi_mean_reversion,weak,7,0.2857142857142857,-6.560471330324333
BTC,1h,bollinger_mean_reversion,weak,7,0.0,-7.589276642802997
BTC,1h,atr_breakout,weak,7,1.0,-0.8554305005909556
ETH,1d,trend_following,unstable,43,0.813953488372093,-0.3207516372145619
ETH,1d,breakout,unstable,43,0.7441860465116279,0.0
ETH,1d,mean_reversion,weak,43,0.8372093023255814,-1.3807242532262536
ETH,1d,grid,weak,43,0.0,0.0
ETH,1d,ema_crossover,unstable,43,0.8604651162790697,-0.5333235629805586
ETH,1d,donchian_breakout,unstable,43,0.7441860465116279,0.0
ETH,1d,rsi_mean_reversion,unstable,43,0.8372093023255814,-0.5117519363198084
ETH,1d,bollinger_mean_reversion,weak,43,0.7906976744186046,-0.47347288828829054
ETH,1d,atr_breakout,weak,43,0.4883720930232558,0.0
ETH,4h,trend_following,unstable,19,0.7894736842105263,-0.33321061546134845
ETH,4h,breakout,weak,19,0.7894736842105263,-3.3533098197854314
ETH,4h,mean_reversion,weak,19,0.8947368421052632,-1.0608905824533508
ETH,4h,grid,weak,19,0.05263157894736842,0.0
ETH,4h,ema_crossover,unstable,19,0.7894736842105263,-1.1778453177054642
ETH,4h,donchian_breakout,weak,19,0.7894736842105263,-2.108368003144915
ETH,4h,rsi_mean_reversion,weak,19,0.8947368421052632,-3.7653340684342314
ETH,4h,bollinger_mean_reversion,weak,19,0.7368421052631579,-2.1022611685134733
ETH,4h,atr_breakout,weak,19,0.8421052631578947,-0.13157212465300744
ETH,1h,trend_following,weak,7,0.5714285714285714,-3.9878227242830686
ETH,1h,breakout,weak,7,1.0,-2.494551785971487
ETH,1h,mean_reversion,weak,7,0.7142857142857143,-3.776657908628033
ETH,1h,grid,weak,7,0.14285714285714285,0.0
ETH,1h,ema_crossover,weak,7,0.7142857142857143,-4.418107532520639
ETH,1h,donchian_breakout,weak,7,1.0,-2.8317540736053615
ETH,1h,rsi_mean_reversion,weak,7,0.42857142857142855,-5.355783596240144
ETH,1h,bollinger_mean_reversion,weak,7,0.14285714285714285,-7.504970457644027
ETH,1h,atr_breakout,weak,7,1.0,-0.4232282715000111
SOL,1d,trend_following,weak,43,0.7209302325581395,-0.8714298701298729
SOL,1d,breakout,unstable,43,0.813953488372093,-0.40610899720934407
SOL,1d,mean_reversion,weak,43,0.6046511627906976,-2.9389545918004156
SOL,1d,grid,weak,43,0.023255813953488372,0.0
SOL,1d,ema_crossover,unstable,43,0.813953488372093,-0.7543472724267076
SOL,1d,donchian_breakout,unstable,43,0.7906976744186046,-0.40610899720934407
SOL,1d,rsi_mean_reversion,weak,43,0.7674418604651163,-0.39665712651571994
SOL,1d,bollinger_mean_reversion,weak,43,0.813953488372093,-1.0389202805038735
SOL,1d,atr_breakout,weak,43,0.3023255813953488,0.0
SOL,4h,trend_following,unstable,19,0.8947368421052632,0.0546671515861135
SOL,4h,breakout,unstable,19,0.7894736842105263,-2.026084301978847
SOL,4h,mean_reversion,weak,19,0.8421052631578947,-2.0888875508037925
SOL,4h,grid,weak,19,0.0,0.0
SOL,4h,ema_crossover,unstable,19,0.7894736842105263,-0.6531389025425027
SOL,4h,donchian_breakout,unstable,19,0.6842105263157895,-2.3728936266542973
SOL,4h,rsi_mean_reversion,weak,19,0.8947368421052632,-2.042868749446336
SOL,4h,bollinger_mean_reversion,weak,19,0.9473684210526315,-1.9647609189988202
SOL,4h,atr_breakout,weak,19,0.9473684210526315,-0.6654139800339407
SOL,1h,trend_following,weak,7,0.7142857142857143,-4.558567337789247
SOL,1h,breakout,weak,7,0.8571428571428571,-3.041377500724923
SOL,1h,mean_reversion,weak,7,0.7142857142857143,-4.295088105931563
SOL,1h,grid,weak,7,0.42857142857142855,0.0
SOL,1h,ema_crossover,weak,7,0.42857142857142855,-5.511360327816078
SOL,1h,donchian_breakout,weak,7,1.0,-3.3501542977682104
SOL,1h,rsi_mean_reversion,weak,7,0.42857142857142855,-5.398152114454968
SOL,1h,bollinger_mean_reversion,weak,7,0.2857142857142857,-7.316482059259352
SOL,1h,atr_breakout,weak,7,1.0,-0.6747024950992226
