run_id,asset,timeframe,strategy,window_id,period,net_return_pct,max_drawdown_pct,trade_count,cost_drag_pct,passed
BTC_1d_trend_following,BTC,1d,trend_following,0,validation,0.5149420909468745,1.3917027719118438,1,100.00000000000104,False
BTC_1d_trend_following,BTC,1d,trend_following,0,holdout,-8.44046767291486,9.779717990736913,3,100.00000000000439,False
BTC_1d_trend_following,BTC,1d,trend_following,1,validation,-3.9380500680914565,5.096626131718084,2,100.00000000000134,False
BTC_1d_trend_following,BTC,1d,trend_following,1,holdout,-4.926961694111583,6.502906234164649,2,100.0000000000045,True
BTC_1d_trend_following,BTC,1d,trend_following,2,validation,-3.9380500680914565,5.096626131718084,2,100.00000000000134,False
BTC_1d_trend_following,BTC,1d,trend_following,2,holdout,-5.3614767539674295,6.502906234164649,4,100.00000000000566,False
BTC_1d_trend_following,BTC,1d,trend_following,3,validation,-8.44046767291486,9.779717990736913,3,100.00000000000439,False
BTC_1d_trend_following,BTC,1d,trend_following,3,holdout,2.7987498212391984,2.426452880940773,5,100.0000000000004,True
BTC_1d_trend_following,BTC,1d,trend_following,4,validation,-4.926961694111583,6.502906234164649,2,100.0000000000045,False
BTC_1d_trend_following,BTC,1d,trend_following,4,holdout,1.5556570929527198,5.770812866471666,3,99.999999999998,True
BTC_1d_trend_following,BTC,1d,trend_following,5,validation,-5.3614767539674295,6.502906234164649,4,100.00000000000566,False
BTC_1d_trend_following,BTC,1d,trend_following,5,holdout,14.201316359060684,5.770812866471669,1,99.99999999999852,True
BTC_1d_trend_following,BTC,1d,trend_following,6,validation,2.7987498212391984,2.426452880940773,5,100.0000000000004,False
BTC_1d_trend_following,BTC,1d,trend_following,6,holdout,-2.4079588866832067,6.159950164904137,4,100.00000000000313,True
BTC_1d_trend_following,BTC,1d,trend_following,7,validation,1.5556570929527198,5.770812866471666,3,99.999999999998,False
BTC_1d_trend_following,BTC,1d,trend_following,7,holdout,-0.4955409278347134,2.804219363486023,2,99.9999999999998,True
BTC_1d_trend_following,BTC,1d,trend_following,8,validation,14.201316359060684,5.770812866471669,1,99.99999999999852,False
BTC_1d_trend_following,BTC,1d,trend_following,8,holdout,-2.663289291127751,2.9808131062617975,3,100.00000000000071,True
BTC_1d_trend_following,BTC,1d,trend_following,9,validation,-2.4079588866832067,6.159950164904137,4,100.00000000000313,False
BTC_1d_trend_following,BTC,1d,trend_following,9,holdout,-1.2617708762465212,1.949310692018499,2,100.0000000000019,True
BTC_1d_trend_following,BTC,1d,trend_following,10,validation,-0.4955409278347134,2.804219363486023,2,99.9999999999998,False
BTC_1d_trend_following,BTC,1d,trend_following,10,holdout,-1.2617708762465212,1.949310692018499,2,100.0000000000019,True
BTC_1d_trend_following,BTC,1d,trend_following,11,validation,-2.663289291127751,2.9808131062617975,3,100.00000000000071,False
BTC_1d_trend_following,BTC,1d,trend_following,11,holdout,-1.3645480444404938,2.5718918637790944,3,100.00000000000342,True
BTC_1d_trend_following,BTC,1d,trend_following,12,validation,-1.2617708762465212,1.949310692018499,2,100.0000000000019,False
BTC_1d_trend_following,BTC,1d,trend_following,12,holdout,6.186907320281762,1.2136814788174093,1,99.99999999999852,True
BTC_1d_trend_following,BTC,1d,trend_following,13,validation,-1.2617708762465212,1.949310692018499,2,100.0000000000019,False
BTC_1d_trend_following,BTC,1d,trend_following,13,holdout,13.97165162921806,1.7390123714245802,1,99.99999999999852,True
BTC_1d_trend_following,BTC,1d,trend_following,14,validation,-1.3645480444404938,2.5718918637790944,3,100.00000000000342,False
BTC_1d_trend_following,BTC,1d,trend_following,14,holdout,14.419841495519767,2.282997555976269,1,100.00000000000104,True
BTC_1d_trend_following,BTC,1d,trend_following,15,validation,6.186907320281762,1.2136814788174093,1,99.99999999999852,False
BTC_1d_trend_following,BTC,1d,trend_following,15,holdout,4.960852954649726,4.825849178479163,1,100.0000000000036,True
BTC_1d_trend_following,BTC,1d,trend_following,16,validation,13.97165162921806,1.7390123714245802,1,99.99999999999852,False
BTC_1d_trend_following,BTC,1d,trend_following,16,holdout,5.650209936950387,4.181222177201599,3,99.99999999999689,True
BTC_1d_trend_following,BTC,1d,trend_following,17,validation,14.419841495519767,2.282997555976269,1,100.00000000000104,False
BTC_1d_trend_following,BTC,1d,trend_following,17,holdout,7.662993454751153,5.113551194380374,3,99.99999999999669,True
BTC_1d_trend_following,BTC,1d,trend_following,18,validation,4.960852954649726,4.825849178479163,1,100.0000000000036,False
BTC_1d_trend_following,BTC,1d,trend_following,18,holdout,7.957870925552993,6.754124816976141,1,100.00000000000104,True
BTC_1d_trend_following,BTC,1d,trend_following,19,validation,5.650209936950387,4.181222177201599,3,99.99999999999689,False
BTC_1d_trend_following,BTC,1d,trend_following,19,holdout,-1.3576616711749125,4.3524604276727485,3,100.00000000000308,True
BTC_1d_trend_following,BTC,1d,trend_following,20,validation,7.662993454751153,5.113551194380374,3,99.99999999999669,False
BTC_1d_trend_following,BTC,1d,trend_following,20,holdout,-4.557736844316764,6.203745394900506,4,99.99999999999645,True
BTC_1d_trend_following,BTC,1d,trend_following,21,validation,7.957870925552993,6.754124816976141,1,100.00000000000104,False
BTC_1d_trend_following,BTC,1d,trend_following,21,holdout,-5.423601076620662,5.934543711557215,3,100.00000000000277,False
BTC_1d_trend_following,BTC,1d,trend_following,22,validation,-1.3576616711749125,4.3524604276727485,3,100.00000000000308,False
BTC_1d_trend_following,BTC,1d,trend_following,22,holdout,-6.896505652882571,8.537052916829323,4,100.00000000000023,False
BTC_1d_trend_following,BTC,1d,trend_following,23,validation,-4.557736844316764,6.203745394900506,4,99.99999999999645,False
BTC_1d_trend_following,BTC,1d,trend_following,23,holdout,-4.716135437795196,5.32540531930606,3,100.00000000000058,True
BTC_1d_trend_following,BTC,1d,trend_following,24,validation,-5.423601076620662,5.934543711557215,3,100.00000000000277,False
BTC_1d_trend_following,BTC,1d,trend_following,24,holdout,1.634407140516305,2.8635389536704565,3,100.00000000000301,True
BTC_1d_trend_following,BTC,1d,trend_following,25,validation,-6.896505652882571,8.537052916829323,4,100.00000000000023,False
BTC_1d_trend_following,BTC,1d,trend_following,25,holdout,13.052502070393349,2.4046207583491035,1,100.0000000000086,True
BTC_1d_trend_following,BTC,1d,trend_following,26,validation,-4.716135437795196,5.32540531930606,3,100.00000000000058,False
BTC_1d_trend_following,BTC,1d,trend_following,26,holdout,13.136894181365392,4.635613016133216,1,100.00000000000104,True
BTC_1d_trend_following,BTC,1d,trend_following,27,validation,1.634407140516305,2.8635389536704565,3,100.00000000000301,False
BTC_1d_trend_following,BTC,1d,trend_following,27,holdout,12.203707436937748,4.320988061365598,1,100.00000000000104,True
BTC_1d_trend_following,BTC,1d,trend_following,28,validation,13.052502070393349,2.4046207583491035,1,100.0000000000086,False
BTC_1d_trend_following,BTC,1d,trend_following,28,holdout,-2.8524556964027394,4.9338206860184215,4,99.99999999999956,True
BTC_1d_trend_following,BTC,1d,trend_following,29,validation,13.136894181365392,4.635613016133216,1,100.00000000000104,False
BTC_1d_trend_following,BTC,1d,trend_following,29,holdout,-3.0601333840253346,5.14780233101761,4,99.99999999999845,True
BTC_1d_trend_following,BTC,1d,trend_following,30,validation,12.203707436937748,4.320988061365598,1,100.00000000000104,False
BTC_1d_trend_following,BTC,1d,trend_following,30,holdout,-2.308098506422277,2.4400406971043482,3,100.00000000000246,True
BTC_1d_trend_following,BTC,1d,trend_following,31,validation,-2.8524556964027394,4.9338206860184215,4,99.99999999999956,False
BTC_1d_trend_following,BTC,1d,trend_following,31,holdout,2.975666094258736,1.5529589296904143,1,99.99999999999852,True
BTC_1d_trend_following,BTC,1d,trend_following,32,validation,-3.0601333840253346,5.14780233101761,4,99.99999999999845,False
BTC_1d_trend_following,BTC,1d,trend_following,32,holdout,3.429760439605161,2.7293854769332286,1,99.99999999999852,True
BTC_1d_trend_following,BTC,1d,trend_following,33,validation,-2.308098506422277,2.4400406971043482,3,100.00000000000246,False
BTC_1d_trend_following,BTC,1d,trend_following,33,holdout,6.229653627405173,2.725408913009371,1,99.99999999999852,True
BTC_1d_trend_following,BTC,1d,trend_following,34,validation,2.975666094258736,1.5529589296904143,1,99.99999999999852,False
BTC_1d_trend_following,BTC,1d,trend_following,34,holdout,1.6368601099499756,3.0346389156648987,1,100.00000000000107,True
BTC_1d_trend_following,BTC,1d,trend_following,35,validation,3.429760439605161,2.7293854769332286,1,99.99999999999852,False
BTC_1d_trend_following,BTC,1d,trend_following,35,holdout,-0.3496582633802291,3.4290538136876143,2,100.00000000000355,True
BTC_1d_trend_following,BTC,1d,trend_following,36,validation,6.229653627405173,2.725408913009371,1,99.99999999999852,False
BTC_1d_trend_following,BTC,1d,trend_following,36,holdout,-0.8878038689791425,4.022945471576924,3,100.00000000000009,True
BTC_1d_trend_following,BTC,1d,trend_following,37,validation,1.6368601099499756,3.0346389156648987,1,100.00000000000107,False
BTC_1d_trend_following,BTC,1d,trend_following,37,holdout,-0.5230467294548248,4.0229454715769295,2,100.00000000000159,True
BTC_1d_trend_following,BTC,1d,trend_following,38,validation,-0.3496582633802291,3.4290538136876143,2,100.00000000000355,False
BTC_1d_trend_following,BTC,1d,trend_following,38,holdout,-0.5230467294548248,4.0229454715769295,2,100.00000000000159,True
BTC_1d_trend_following,BTC,1d,trend_following,39,validation,-0.8878038689791425,4.022945471576924,3,100.00000000000009,False
BTC_1d_trend_following,BTC,1d,trend_following,39,holdout,-0.6269984648132209,2.304802809826547,1,99.99999999999852,True
BTC_1d_trend_following,BTC,1d,trend_following,40,validation,-0.5230467294548248,4.0229454715769295,2,100.00000000000159,False
BTC_1d_trend_following,BTC,1d,trend_following,40,holdout,-3.6019977671677,5.4032777912987555,2,99.99999999999923,True
BTC_1d_trend_following,BTC,1d,trend_following,41,validation,-0.5230467294548248,4.0229454715769295,2,100.00000000000159,False
BTC_1d_trend_following,BTC,1d,trend_following,41,holdout,-3.428247774539079,6.020233647520688,3,99.99999999999788,True
BTC_1d_trend_following,BTC,1d,trend_following,42,validation,-0.6269984648132209,2.304802809826547,1,99.99999999999852,False
BTC_1d_trend_following,BTC,1d,trend_following,42,holdout,-1.9466906275822795,4.782921827781123,5,100.00000000000149,True
BTC_1d_breakout,BTC,1d,breakout,0,validation,1.003807832883558,2.4012887152503253,1,100.00000000000104,False
BTC_1d_breakout,BTC,1d,breakout,0,holdout,-4.501705527502099,4.504434349434313,2,99.99999999999932,True
BTC_1d_breakout,BTC,1d,breakout,1,validation,-2.9505059592582144,3.9150145692372367,3,99.99999999999957,False
BTC_1d_breakout,BTC,1d,breakout,1,holdout,-2.8901243702576496,3.3950481049951264,2,99.99999999999322,True
