asset,cost_drag_pct,data_ok,fee_bps,fees_usd,max_drawdown_pct,max_drawdown_pct_config,max_position_fraction,risk_denial_rate,risk_denials_count,risk_grid_key,risk_rules_triggered,sharpe_ratio,slippage_bps,slippage_drag_usd,stopped_by_risk,strategy,strategy_family,timeframe,total_return_pct,trade_count,turnover_ratio,verdict,verdict_reasons
BTC,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,1690,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,mean_reversion,rsi_bollinger_mr,1h,0.0,0,0.0,insufficient_trades,['trade_count=0 < 20']
BTC,100.00000000000311,True,40.0,2.125485682708099,6.965532347887934,0.1,0.1,0.1818,2,pos0.1_dd0.1,['max_position_fraction'],0.29015896596100366,5.0,0.2656692261870077,False,grid,grid,1h,2.4145001536543984,9,0.5314,insufficient_trades,['trade_count=9 < 20']
BTC,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,9190,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,ema_crossover,trend_ema_donchian,1h,0.0,0,0.0,insufficient_trades,['trade_count=0 < 20']
BTC,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,519,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,donchian_breakout,trend_ema_donchian,1h,0.0,0,0.0,insufficient_trades,['trade_count=0 < 20']
BTC,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,2013,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,rsi_mean_reversion,rsi_bollinger_mr,1h,0.0,0,0.0,insufficient_trades,['trade_count=0 < 20']
BTC,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,1127,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,bollinger_mean_reversion,rsi_bollinger_mr,1h,0.0,0,0.0,insufficient_trades,['trade_count=0 < 20']
BTC,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,78,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,atr_breakout,breakout_atr,1h,0.0,0,0.0,insufficient_trades,['trade_count=0 < 20']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,831,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,trend_following,trend_ema_donchian,1d,0.0,0,0.0,insufficient_trades,['trade_count=0 < 5']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,114,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,breakout,breakout_atr,1d,0.0,0,0.0,insufficient_trades,['trade_count=0 < 5']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,244,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,mean_reversion,rsi_bollinger_mr,1d,0.0,0,0.0,insufficient_trades,['trade_count=0 < 5']
ETH,100.00000000000138,True,40.0,3.3470094853933663,21.8027593081188,0.1,0.1,0.1818,2,pos0.1_dd0.1,['max_position_fraction'],0.13148445928846547,5.0,0.4183417425738156,False,grid,grid,1d,6.271179856325147,9,0.8368,blocked_risk,['max_drawdown_pct=21.80']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,842,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,ema_crossover,trend_ema_donchian,1d,0.0,0,0.0,insufficient_trades,['trade_count=0 < 5']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,111,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,donchian_breakout,trend_ema_donchian,1d,0.0,0,0.0,insufficient_trades,['trade_count=0 < 5']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,169,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,rsi_mean_reversion,rsi_bollinger_mr,1d,0.0,0,0.0,insufficient_trades,['trade_count=0 < 5']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,97,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,bollinger_mean_reversion,rsi_bollinger_mr,1d,0.0,0,0.0,insufficient_trades,['trade_count=0 < 5']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,10,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,atr_breakout,breakout_atr,1d,0.0,0,0.0,insufficient_trades,['trade_count=0 < 5']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,3246,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,trend_following,trend_ema_donchian,4h,0.0,0,0.0,insufficient_trades,['trade_count=0 < 10']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,314,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,breakout,breakout_atr,4h,0.0,0,0.0,insufficient_trades,['trade_count=0 < 10']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,712,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,mean_reversion,rsi_bollinger_mr,4h,0.0,0,0.0,insufficient_trades,['trade_count=0 < 10']
ETH,100.00000000001334,True,40.0,1.5575591740180308,13.402428868685037,0.1,0.1,0.4444,4,pos0.1_dd0.1,"['max_drawdown_pct', 'max_position_fraction']",0.12156091813813838,5.0,0.1946729541489276,True,grid,grid,4h,2.0623296432273945,5,0.3894,insufficient_trades,['trade_count=5 < 10']
ETH,0.0,True,40.0,0.0,0.0,0.1,0.1,1.0,3146,pos0.1_dd0.1,['max_position_fraction'],0.0,5.0,0.0,False,ema_crossover,trend_ema_donchian,4h,0.0,0,0.0,insufficient_trades,['trade_count=0 < 10']
