asset,bh_max_drawdown_pct,bh_return_pct,calmar_like,candle_count,cost_drag_pct,data_ok,drawdown_reduction_vs_bh,fee_bps,max_drawdown_pct,overlay,risk_adjusted_alpha,run_id,sharpe_ratio,strategy,time_in_market_pct,timeframe,total_return_pct,trade_count,turnover_ratio,ulcer_index,variant
BTC,14.8761,-5.149,-0.2265,1831,100.00000000000036,True,1.5948,40.0,13.281276055210437,off,0.1612,BTC_1d_donchian_breakout_fast_off,-0.21005081139482376,donchian_breakout,59.96,1d,-3.0086816778272123,7,1.6982,6.9482,fast
BTC,14.8761,-5.149,-0.4982,1831,99.99999999999915,True,3.9382,40.0,10.937905755273787,vol,-0.0274,BTC_1d_donchian_breakout_fast_vol,-0.6315719812778403,donchian_breakout,45.19,1d,-5.448724994871998,13,2.8089,6.0572,fast
BTC,14.8761,-5.149,-0.2112,1831,100.00000000000158,True,8.0244,40.0,6.851698234969522,panic,0.5403,BTC_1d_donchian_breakout_fast_panic,-0.2163368173507282,donchian_breakout,35.06,1d,-1.4471625060901943,15,2.3711,3.6308,fast
BTC,14.8761,-5.149,-0.3515,1831,99.99999999999937,True,8.2008,40.0,6.675325119979307,both,0.4199,BTC_1d_donchian_breakout_fast_both,-0.39956009487636057,donchian_breakout,34.83,1d,-2.3461127008361813,16,2.4049,3.6052,fast
BTC,14.8761,-5.149,-0.068,1831,99.99999999999709,True,6.7543,40.0,8.121818520666606,off,0.566,BTC_1d_atr_breakout_baseline_off,-0.02774944715436633,atr_breakout,43.72,1d,-0.5520248337248177,2,0.4967,5.1801,baseline
BTC,14.8761,-5.149,-0.6327,1831,100.00000000000202,True,13.8683,40.0,1.007792160838473,vol,4.4765,BTC_1d_atr_breakout_baseline_vol,-0.38126799039875886,atr_breakout,4.81,1d,-0.6376301351889878,6,1.2469,0.7863,baseline
BTC,14.8761,-5.149,-0.6065,1831,99.99999999999913,True,13.8683,40.0,1.0077921608384806,panic,4.5026,BTC_1d_atr_breakout_baseline_panic,-0.3647086011755023,atr_breakout,5.17,1d,-0.6112422660978837,6,1.1221,0.7847,baseline
BTC,14.8761,-5.149,-0.5626,1831,99.99999999999876,True,13.8683,40.0,1.0077921608384788,both,4.5466,BTC_1d_atr_breakout_baseline_both,-0.33901254267733527,atr_breakout,5.17,1d,-0.5669395097902225,6,1.0237,0.7824,baseline
BTC,14.8761,-5.149,-0.5673,1831,99.99999999999922,True,13.8683,40.0,1.0077921608384812,off,4.5418,BTC_1d_atr_breakout_slow_off,-0.34090364762680353,atr_breakout,4.64,1d,-0.5717384588109099,4,0.9973,0.7826,slow
BTC,14.8761,-5.149,-0.5392,1831,100.00000000000402,True,13.8683,40.0,1.007792160838473,vol,4.57,BTC_1d_atr_breakout_slow_vol,-0.3247433517401111,atr_breakout,4.64,1d,-0.5433759679906075,4,0.9493,0.7813,slow
