asset,cost_drag_pct,data_ok,fee_bps,fees_usd,max_drawdown_pct,risk_denial_rate,risk_denials_count,risk_rules_triggered,sharpe_ratio,slippage_bps,slippage_drag_usd,stopped_by_risk,strategy,strategy_family,timeframe,total_return_pct,trade_count,turnover_ratio,verdict,verdict_reasons
BTC,99.99999999999741,True,40.0,1.9956335539273753,17.366186687153014,0.9978,918,"['max_drawdown_pct', 'max_position_fraction']",0.019942792691871162,5.0,0.24945392120147858,True,trend_following,trend_ema_donchian,1d,-0.33372450720835334,2,0.4989,insufficient_trades,['trade_count=2 < 5']
BTC,100.00000000000104,True,40.0,1.0005,29.822291454692895,0.9846,64,"['max_drawdown_pct', 'max_position_fraction']",0.3234182335969331,5.0,0.125,True,breakout,breakout_atr,1d,29.593631449828173,1,0.2501,insufficient_trades,['trade_count=1 < 5']
BTC,100.00000000000169,True,40.0,4.929375931222475,31.9520922906117,0.9972,1784,"['max_drawdown_pct', 'max_position_fraction']",0.3416042767551563,5.0,0.6161080164635848,True,mean_reversion,rsi_bollinger_mr,1d,34.41650353628997,5,1.2323,blocked_risk,"['max_drawdown_pct=31.95', 'risk_denial_rate=99.72%', 'safety_stop']"
BTC,100.00000000000078,True,40.0,4.929284929876005,23.049828460848964,0.0769,1,['max_position_fraction'],0.41123238763316533,5.0,0.616126915056384,False,grid,grid,1d,32.431857916047576,12,1.2323,blocked_risk,"['max_drawdown_pct=23.05', 'grid_max_inventory']"
BTC,100.00000000000104,True,40.0,1.0005,28.896104869911998,0.9988,850,"['max_drawdown_pct', 'max_position_fraction']",0.30812190905699743,5.0,0.125,True,ema_crossover,trend_ema_donchian,1d,26.866108667583283,1,0.2501,insufficient_trades,['trade_count=1 < 5']
BTC,100.00000000000104,True,40.0,1.0005,29.822291454692895,0.9841,62,"['max_drawdown_pct', 'max_position_fraction']",0.3234182335969331,5.0,0.125,True,donchian_breakout,trend_ema_donchian,1d,29.593631449828173,1,0.2501,insufficient_trades,['trade_count=1 < 5']
BTC,99.99999999999852,True,40.0,1.0005,33.00818302195395,0.9994,1759,"['max_drawdown_pct', 'max_position_fraction']",0.37281595543751866,5.0,0.12499999999997158,True,rsi_mean_reversion,rsi_bollinger_mr,1d,39.860184459313174,1,0.2501,insufficient_trades,['trade_count=1 < 5']
BTC,99.99999999999953,True,40.0,2.9893593809238,33.00818302195396,0.9983,1777,"['max_drawdown_pct', 'max_position_fraction']",0.3680967383112934,5.0,0.37360722898347376,True,bollinger_mean_reversion,rsi_bollinger_mr,1d,39.29766283257257,3,0.7473,insufficient_trades,['trade_count=3 < 5']
BTC,100.00000000000104,True,40.0,1.0005,34.61102607693445,0.9991,1137,"['max_drawdown_pct', 'max_position_fraction']",0.5726590520906845,5.0,0.125,True,atr_breakout,breakout_atr,1d,82.7586227969165,1,0.2501,insufficient_trades,['trade_count=1 < 5']
BTC,100.00000000000193,True,40.0,100.32813241962512,8.201257887012611,0.0,0,[],0.41730045395691273,5.0,12.54106489525094,False,trend_following,trend_ema_donchian,4h,8.050199948175532,116,25.082,blocked_costs,['cost_drag_pct=100.00']
BTC,99.99999999999996,True,40.0,94.2201063934351,15.368804000069957,0.234,33,['max_position_fraction'],0.24493729262685948,5.0,11.777552715630776,False,breakout,breakout_atr,4h,5.1668152220675205,108,23.555,blocked_risk,['max_drawdown_pct=15.37']
BTC,100.00000000000007,True,40.0,154.51344734453497,16.221568213598296,0.3544,112,['max_drawdown_pct'],-1.0055130542723991,5.0,19.314189484940442,True,mean_reversion,rsi_bollinger_mr,4h,-13.956013474105031,204,38.6284,blocked_risk,"['max_drawdown_pct=16.22', 'risk_denial_rate=35.44%', 'safety_stop']"
BTC,100.0000000000077,True,40.0,0.957813634257716,30.204954389996182,0.0,0,[],0.7227964080142112,5.0,0.11966687084677119,False,grid,grid,4h,48.106746578666616,3,0.2395,insufficient_trades,['trade_count=3 < 10']
BTC,99.99999999999937,True,40.0,15.148349824411108,26.311635605168426,0.9924,2469,"['max_daily_loss_pct', 'max_drawdown_pct', 'max_position_fraction']",0.6242313902709591,5.0,1.8934947064423966,True,ema_crossover,trend_ema_donchian,4h,33.018166944345786,19,3.7871,blocked_risk,"['max_drawdown_pct=26.31', 'risk_denial_rate=99.24%', 'safety_stop']"
BTC,100.0000000000002,True,40.0,87.2998732335086,15.544028230935986,0.3377,52,"['max_drawdown_pct', 'max_position_fraction']",0.08116553740446077,5.0,10.912511201754768,True,donchian_breakout,trend_ema_donchian,4h,0.9977884131064115,102,21.825,blocked_risk,"['max_drawdown_pct=15.54', 'risk_denial_rate=33.77%', 'safety_stop']"
BTC,100.0000000000006,True,40.0,140.2370508142849,21.077391498735235,0.8543,1085,['max_drawdown_pct'],-1.1216543937097578,5.0,17.52959296676204,True,rsi_mean_reversion,rsi_bollinger_mr,4h,-17.607361504751136,185,35.0593,blocked_risk,"['max_drawdown_pct=21.08', 'risk_denial_rate=85.43%', 'safety_stop']"
BTC,100.00000000000011,True,40.0,163.5734188139457,18.41315335000527,0.7104,525,['max_drawdown_pct'],-0.863655870019834,5.0,20.44668950602218,True,bollinger_mean_reversion,rsi_bollinger_mr,4h,-13.54029841638146,214,40.8934,blocked_risk,"['max_drawdown_pct=18.41', 'risk_denial_rate=71.04%', 'safety_stop']"
BTC,99.99999999999952,True,40.0,56.811258758431165,4.846769434708892,0.0,0,[],-1.612158648913209,5.0,7.10141250421222,False,atr_breakout,breakout_atr,4h,-4.327503504476067,72,14.2028,blocked_costs,['cost_drag_pct=100.00']
BTC,100.00000000000068,True,40.0,102.43286311565647,14.242268000150348,0.0,0,[],-0.9002564574761028,5.0,12.804114649146499,False,trend_following,trend_ema_donchian,1h,-8.819821413105739,172,25.6082,blocked_costs,['cost_drag_pct=100.00']
BTC,100.00000000000024,True,40.0,106.27548052211768,13.33568906297757,0.0,0,[],-1.011970302034506,5.0,13.284440704361941,False,breakout,breakout_atr,1h,-9.70035265265767,184,26.5689,blocked_costs,['cost_drag_pct=100.00']
BTC,100.00000000000011,True,40.0,158.622132595004,15.658850951512868,0.5786,390,['max_drawdown_pct'],-2.179193662469904,5.0,19.827774000810223,True,mean_reversion,rsi_bollinger_mr,1h,-14.874416030799717,284,39.6555,blocked_risk,"['max_drawdown_pct=15.66', 'risk_denial_rate=57.86%', 'safety_stop']"
BTC,100.00000000000631,True,40.0,3.0605643289785402,6.965532347887926,0.0,0,[],0.2321686638045474,5.0,0.382553187690867,False,grid,grid,1h,1.91663868740053,11,0.7651,insufficient_trades,['trade_count=11 < 20']
BTC,99.99999999999979,True,40.0,101.8456063124138,15.062700641093263,0.8219,794,['max_drawdown_pct'],-1.0417283231138965,5.0,12.730705420672251,True,ema_crossover,trend_ema_donchian,1h,-9.604982333930456,172,25.4614,blocked_risk,"['max_drawdown_pct=15.06', 'risk_denial_rate=82.19%', 'safety_stop']"
BTC,99.99999999999939,True,40.0,103.99930819290702,12.627666553415793,0.0,0,[],-0.9733673158457626,5.0,12.999919558068768,False,donchian_breakout,trend_ema_donchian,1h,-9.286340075608848,180,25.9998,blocked_costs,['cost_drag_pct=100.00']
BTC,100.00000000000023,True,40.0,189.53130937542556,15.425691059039814,0.7358,958,['max_drawdown_pct'],-2.340086689495035,5.0,23.69142978636461,True,rsi_mean_reversion,rsi_bollinger_mr,1h,-14.876498341018396,344,47.3828,blocked_risk,"['max_drawdown_pct=15.43', 'risk_denial_rate=73.58%', 'safety_stop']"
BTC,99.99999999999959,True,40.0,154.24243035837947,15.523963276617032,0.7024,656,['max_drawdown_pct'],-2.746500615326299,5.0,19.280309647100438,True,bollinger_mean_reversion,rsi_bollinger_mr,1h,-15.011351965285973,278,38.5606,blocked_risk,"['max_drawdown_pct=15.52', 'risk_denial_rate=70.24%', 'safety_stop']"
BTC,99.99999999999962,True,40.0,82.69194276370725,8.387945677369112,0.0,0,[],-4.15823128909633,5.0,10.336495132707483,False,atr_breakout,breakout_atr,1h,-8.387945677369112,144,20.673,blocked_costs,['cost_drag_pct=100.00']
ETH,99.99999999999852,True,40.0,1.0005,30.21986086852851,0.9989,922,"['max_drawdown_pct', 'max_position_fraction']",0.025158212760746042,5.0,0.12499999999997158,True,trend_following,trend_ema_donchian,1d,-4.6878550523028935,1,0.2501,insufficient_trades,['trade_count=1 < 5']
ETH,100.00000000000104,True,40.0,1.0005,31.298207817577296,0.9848,65,"['max_drawdown_pct', 'max_position_fraction']",0.04165456235414411,5.0,0.125,True,breakout,breakout_atr,1d,-3.4838499784711305,1,0.2501,insufficient_trades,['trade_count=1 < 5']
