asset,timeframe,strategy,verdict,total_return_pct,trade_count,cost_drag_pct
BTC,1d,trend_following,insufficient_trades,1.384947851395259,3,100.00000000000058
BTC,1d,breakout,blocked_risk,-1.1999093325647094,5,99.99999999999896
BTC,1d,mean_reversion,blocked_risk,4.620760063245257,9,100.00000000000173
BTC,1d,grid,blocked_costs,-2.754961682402052,5,100.00000000000422
BTC,4h,trend_following,blocked_data,0.0,0,0.0
BTC,4h,breakout,blocked_data,0.0,0,0.0
BTC,4h,mean_reversion,blocked_data,0.0,0,0.0
BTC,4h,grid,blocked_data,0.0,0,0.0
BTC,1h,trend_following,blocked_data,0.0,0,0.0
BTC,1h,breakout,blocked_data,0.0,0,0.0
BTC,1h,mean_reversion,blocked_data,0.0,0,0.0
BTC,1h,grid,blocked_data,0.0,0,0.0
ETH,1d,trend_following,insufficient_trades,-9.481746190870535,3,100.00000000000146
ETH,1d,breakout,insufficient_trades,-10.55685073384159,3,99.999999999996
ETH,1d,mean_reversion,insufficient_trades,-2.384168271623116,3,99.99999999999892
ETH,1d,grid,insufficient_trades,-2.1171543149146372,2,99.99999999999545
ETH,4h,trend_following,blocked_data,0.0,0,0.0
ETH,4h,breakout,blocked_data,0.0,0,0.0
ETH,4h,mean_reversion,blocked_data,0.0,0,0.0
ETH,4h,grid,blocked_data,0.0,0,0.0
ETH,1h,trend_following,blocked_data,0.0,0,0.0
ETH,1h,breakout,blocked_data,0.0,0,0.0
ETH,1h,mean_reversion,blocked_data,0.0,0,0.0
ETH,1h,grid,blocked_data,0.0,0,0.0
