bar_index,breakout_pressure,close,drawdown_from_high,long_ma,moving_average_slope,position_scale,range_score,realized_vol,reason,regime,run_id,selected_strategy,trend_strength,volatility_percentile,volume_zscore
1320,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1328,,,,,,1.0,,,slope=0.0031 trend=0.0205,trend_up,ETH_1d_regime_router,trend_following,,,
1332,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1386,,,,,,0.0,,,panic_cash,panic,ETH_1d_regime_router,cash,,,
1407,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1424,,,,,,0.0,,,panic_cash,panic,ETH_1d_regime_router,cash,,,
1441,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,ETH_1d_regime_router,cash,,,
1442,,,,,,0.0,,,panic_cash,panic,ETH_1d_regime_router,cash,,,
1443,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,ETH_1d_regime_router,cash,,,
1444,,,,,,1.0,,,range_score=0.1661,range,ETH_1d_regime_router,grid,,,
1446,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1449,,,,,,1.0,,,range_score=0.1465,range,ETH_1d_regime_router,grid,,,
1450,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1453,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,ETH_1d_regime_router,cash,,,
1473,,,,,,1.0,,,slope=0.0119 trend=0.2326,trend_up,ETH_1d_regime_router,trend_following,,,
1496,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1505,,,,,,1.0,,,range_score=0.2355,range,ETH_1d_regime_router,grid,,,
1506,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1510,,,,,,1.0,,,range_score=0.1450,range,ETH_1d_regime_router,grid,,,
1512,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1513,,,,,,1.0,,,range_score=0.1430,range,ETH_1d_regime_router,grid,,,
1514,,,,,,1.0,,,slope=0.0007 trend=0.0313,trend_up,ETH_1d_regime_router,trend_following,,,
1559,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,ETH_1d_regime_router,cash,,,
1576,,,,,,1.0,,,slope=0.0027 trend=0.0359,trend_up,ETH_1d_regime_router,trend_following,,,
1589,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1599,,,,,,1.0,,,range_score=0.1927,range,ETH_1d_regime_router,grid,,,
1600,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1602,,,,,,1.0,,,slope=0.0002 trend=0.0220,trend_up,ETH_1d_regime_router,trend_following,,,
1605,,,,,,1.0,,,range_score=0.1820,range,ETH_1d_regime_router,grid,,,
1606,,,,,,1.0,,,slope=0.0020 trend=0.0264,trend_up,ETH_1d_regime_router,trend_following,,,
1607,,,,,,1.0,,,range_score=0.1854,range,ETH_1d_regime_router,grid,,,
1608,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1610,,,,,,0.0,,,panic_cash,panic,ETH_1d_regime_router,cash,,,
1619,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1668,,,,,,1.0,,,range_score=0.1664,range,ETH_1d_regime_router,grid,,,
1670,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1691,,,,,,1.0,,,range_score=0.0952,range,ETH_1d_regime_router,grid,,,
1692,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1693,,,,,,1.0,,,slope=0.0001 trend=0.0379,trend_up,ETH_1d_regime_router,trend_following,,,
1694,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1695,,,,,,1.0,,,slope=0.0009 trend=0.0665,trend_up,ETH_1d_regime_router,trend_following,,,
1700,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1701,,,,,,1.0,,,slope=0.0023 trend=0.0276,trend_up,ETH_1d_regime_router,trend_following,,,
1702,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1703,,,,,,1.0,,,slope=0.0024 trend=0.0828,trend_up,ETH_1d_regime_router,trend_following,,,
1710,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1717,,,,,,1.0,,,range_score=0.1778,range,ETH_1d_regime_router,grid,,,
1718,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1726,,,,,,0.0,,,panic_cash,panic,ETH_1d_regime_router,cash,,,
1747,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1770,,,,,,1.0,,,range_score=0.1995,range,ETH_1d_regime_router,grid,,,
1772,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1775,,,,,,1.0,,,range_score=0.2018,range,ETH_1d_regime_router,grid,,,
1776,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1779,,,,,,1.0,,,range_score=0.1818,range,ETH_1d_regime_router,grid,,,
1780,,,,,,1.0,,,slope=0.0000 trend=0.0312,trend_up,ETH_1d_regime_router,trend_following,,,
1782,,,,,,1.0,,,range_score=0.1790,range,ETH_1d_regime_router,grid,,,
1785,,,,,,1.0,,,slope=0.0002 trend=0.0297,trend_up,ETH_1d_regime_router,trend_following,,,
1822,,,,,,1.0,,,range_score=0.0520,range,ETH_1d_regime_router,grid,,,
1824,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
1825,,,,,,1.0,,,range_score=0.0659,range,ETH_1d_regime_router,grid,,,
1826,,,,,,0.0,,,unknown_hold,unknown,ETH_1d_regime_router,cash,,,
55,-0.100441,2110.69,0.410767,2343.858,-0.002726,,0.243461,0.060477,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.11047,0.7429,-1.1929
91,-0.004605,3307.09,0.004584,2384.7506,0.012546,,0.309284,0.038895,slope=0.0125 trend=0.2789,trend_up,ETH_1d_regime_router,trend_following,0.278898,0.2676,-1.0778
127,-0.326812,2977.28,0.246314,3280.8556,0.002577,,0.326812,0.05396,dd=24.63% vol_pct=0.77,panic,ETH_1d_regime_router,cash,0.101964,0.7664,1.584
163,-0.021505,4131.52,0.021053,3477.7338,0.001179,,0.195122,0.031247,slope=0.0012 trend=0.1582,trend_up,ETH_1d_regime_router,trend_following,0.158244,0.042,-0.2553
199,-0.029686,4582.95,0.046803,4287.9354,0.005117,,0.14588,0.047538,slope=0.0051 trend=0.0644,trend_up,ETH_1d_regime_router,trend_following,0.064372,0.6034,0.3521
235,-0.206821,3406.81,0.291426,4063.9064,-0.004317,,0.206821,0.027062,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.192877,0.0233,2.4284
271,-0.108077,2927.54,0.287947,3168.2124,-0.007418,,0.279993,0.03838,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.08221,0.3705,-0.2291
307,-0.008638,2950.84,0.090353,2789.7162,0.002918,,0.164431,0.04293,slope=0.0029 trend=0.0546,trend_up,ETH_1d_regime_router,trend_following,0.054603,0.4669,-1.1261
343,-0.204896,2921.0,0.17062,3015.0672,0.0017,,0.166378,0.02737,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.032204,0.0464,-1.12
379,-0.17174,1998.78,0.432473,2506.5526,-0.009517,,0.209138,0.052503,dd=43.25% vol_pct=0.87,panic,ETH_1d_regime_router,cash,0.254041,0.8691,-0.0137
415,-0.097007,1132.5,0.570264,1518.5674,-0.011601,,0.218305,0.06015,dd=57.03% vol_pct=0.94,panic,ETH_1d_regime_router,cash,0.340898,0.9367,0.2652
451,0.041282,1853.57,0.0,1388.8456,0.01059,,0.222695,0.049611,slope=0.0106 trend=0.2507,trend_up,ETH_1d_regime_router,trend_following,0.250719,0.6937,1.0716
487,-0.204631,1472.75,0.257518,1677.7104,-0.001939,,0.235858,0.043761,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.139168,0.4625,2.1873
523,-0.047501,1299.75,0.267383,1408.2646,-0.004051,,0.066605,0.017715,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.083489,0.0199,0.1237
559,-0.300838,1205.6,0.267014,1342.8354,-0.001866,,0.386007,0.067952,dd=26.70% vol_pct=0.94,panic,ETH_1d_regime_router,cash,0.113832,0.9443,-0.7578
595,-0.100263,1200.34,0.270212,1223.1052,-0.00093,,0.12818,0.023787,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.018966,0.0365,-1.2406
631,-0.032268,1614.29,0.031259,1420.2768,0.00611,,0.095986,0.029165,slope=0.0061 trend=0.1202,trend_up,ETH_1d_regime_router,trend_following,0.120185,0.1751,-0.7662
667,0.01527,1699.4,0.002272,1603.3438,0.000913,,0.160621,0.031655,slope=0.0009 trend=0.0565,trend_up,ETH_1d_regime_router,trend_following,0.056524,0.272,1.897
703,-0.095639,1933.73,0.087291,1773.1594,0.003719,,0.167635,0.027359,slope=0.0037 trend=0.0830,trend_up,ETH_1d_regime_router,trend_following,0.083037,0.1362,1.6666
739,-0.103954,1805.6,0.147767,1884.477,-0.001093,,0.056508,0.015304,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.043685,0.0139,-0.1255
775,0.018094,1933.79,0.029855,1823.3166,0.001532,,0.146262,0.02404,slope=0.0015 trend=0.0571,trend_up,ETH_1d_regime_router,trend_following,0.057128,0.1311,2.7915
811,-0.046627,1836.48,0.083817,1873.365,0.001267,,0.04409,0.00854,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.020085,0.0038,-1.4461
847,-0.069246,1617.42,0.193101,1752.7,-0.002834,,0.069246,0.016196,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.083639,0.0459,-0.1472
883,-0.084012,1599.42,0.077501,1622.3106,-0.000726,,0.121407,0.019391,range_score=0.1214,range,ETH_1d_regime_router,grid,0.014312,0.1356,2.1786
919,-0.097418,1933.01,0.08877,1783.8752,0.003043,,0.165814,0.035302,slope=0.0030 trend=0.0772,trend_up,ETH_1d_regime_router,trend_following,0.077152,0.5384,0.405
955,0.008254,2378.35,0.0,2150.4774,0.004607,,0.084277,0.026153,slope=0.0046 trend=0.0958,trend_up,ETH_1d_regime_router,trend_following,0.095811,0.3016,1.4289
991,-0.122867,2304.28,0.119835,2334.657,0.000378,,0.160033,0.023087,range_score=0.1600,range,ETH_1d_regime_router,grid,0.013183,0.2111,-0.277
1027,0.00376,3883.36,0.0,2778.1892,0.010273,,0.258065,0.023428,slope=0.0103 trend=0.2846,trend_up,ETH_1d_regime_router,trend_following,0.284591,0.2453,0.1982
1063,-0.228666,3007.01,0.260232,3514.281,0.000483,,0.228666,0.037898,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.168696,0.629,3.0723
1099,-0.047389,3071.19,0.168738,3165.4718,-0.002737,,0.08286,0.028236,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.030699,0.3781,-1.1003
1135,-0.153087,3352.73,0.13905,3477.3162,0.001246,,0.153087,0.019569,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.03716,0.139,2.1514
1171,-0.078284,3279.21,0.15178,3352.6728,-0.002313,,0.133066,0.025948,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.022403,0.3275,-0.6234
1207,-0.129469,2450.71,0.30691,2843.4102,-0.006939,,0.139841,0.029962,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.160239,0.444,1.3127
1243,-0.129035,2386.49,0.137829,2483.7156,-0.001963,,0.144409,0.022162,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.04074,0.2003,0.1216
1279,-0.091126,3090.01,0.083515,2636.9216,0.003484,,0.315009,0.040444,slope=0.0035 trend=0.1466,trend_up,ETH_1d_regime_router,trend_following,0.14663,0.6902,-0.1154
1315,-0.199235,3338.92,0.166135,3400.4862,0.00489,,0.199235,0.036947,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.018439,0.6185,-0.6163
1351,-0.140704,3232.61,0.192685,3473.4946,-0.004378,,0.103978,0.035528,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.074517,0.586,-0.8923
1387,-0.312088,2149.01,0.41721,2873.9918,-0.007722,,0.312088,0.056634,dd=41.72% vol_pct=0.94,panic,ETH_1d_regime_router,cash,0.337356,0.9378,1.2469
1423,-0.412506,1473.41,0.477457,2090.7642,-0.012009,,0.412506,0.036845,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.418997,0.6258,0.7948
1459,-0.026811,2609.74,0.026111,1843.474,0.005932,,0.342988,0.055589,vol_pct=0.92,high_vol,ETH_1d_regime_router,cash,0.293618,0.9222,0.4207
1495,-0.117123,2521.12,0.104843,2453.5758,0.005966,,0.159608,0.030165,slope=0.0060 trend=0.0268,trend_up,ETH_1d_regime_router,trend_following,0.026791,0.421,-1.1652
1531,-0.010032,3724.96,0.009933,2800.4926,0.009451,,0.327531,0.026261,slope=0.0095 trend=0.2482,trend_up,ETH_1d_regime_router,trend_following,0.248182,0.2846,0.1644
1567,-0.104801,4373.7,0.09486,3968.6578,0.007185,,0.172961,0.051129,vol_pct=0.88,high_vol,ETH_1d_regime_router,cash,0.092609,0.8804,-1.5299
1603,-0.016882,4514.32,0.065759,4390.0886,0.000421,,0.158644,0.027826,slope=0.0004 trend=0.0275,trend_up,ETH_1d_regime_router,trend_following,0.027519,0.3316,0.5593
1639,-0.165537,3567.85,0.242842,3992.2122,-0.004375,,0.24424,0.036512,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.118941,0.6096,0.2062
1675,-0.122148,2962.3,0.287645,3222.479,-0.007135,,0.177251,0.034404,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.08783,0.5444,-0.2332
1711,-0.124955,2982.27,0.111076,3087.7756,-8.9e-05,,0.139169,0.029972,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.035378,0.408,1.8265
1747,-0.038142,2027.68,0.39561,2518.1044,-0.008981,,0.124813,0.035834,no_clear_regime,unknown,ETH_1d_regime_router,cash,0.241865,0.5912,-0.1685
1783,-0.14565,2053.83,0.127133,2046.6268,0.001037,,0.179338,0.033342,range_score=0.1793,range,ETH_1d_regime_router,grid,0.003507,0.5111,-1.3491
1819,-0.020473,2326.44,0.038264,2229.211,0.00162,,0.052084,0.014352,slope=0.0016 trend=0.0418,trend_up,ETH_1d_regime_router,trend_following,0.041793,0.02,-0.3278
76,,,,,,1.0,,,slope=0.0004 trend=0.1341,trend_up,SOL_1d_regime_router,trend_following,,,
77,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
82,,,,,,1.0,,,slope=0.0002 trend=0.2048,trend_up,SOL_1d_regime_router,trend_following,,,
106,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,SOL_1d_regime_router,cash,,,
112,,,,,,1.0,,,slope=0.0407 trend=0.5848,trend_up,SOL_1d_regime_router,trend_following,,,
113,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,SOL_1d_regime_router,cash,,,
114,,,,,,1.0,,,slope=0.0483 trend=0.6271,trend_up,SOL_1d_regime_router,trend_following,,,
121,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,SOL_1d_regime_router,cash,,,
123,,,,,,1.0,,,slope=0.0282 trend=0.4040,trend_up,SOL_1d_regime_router,trend_following,,,
125,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,SOL_1d_regime_router,cash,,,
126,,,,,,1.0,,,slope=0.0242 trend=0.3575,trend_up,SOL_1d_regime_router,trend_following,,,
127,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,SOL_1d_regime_router,cash,,,
133,,,,,,1.0,,,slope=0.0174 trend=0.1714,trend_up,SOL_1d_regime_router,trend_following,,,
138,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,SOL_1d_regime_router,cash,,,
141,,,,,,1.0,,,slope=0.0178 trend=0.2230,trend_up,SOL_1d_regime_router,trend_following,,,
143,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,SOL_1d_regime_router,cash,,,
144,,,,,,1.0,,,slope=0.0122 trend=0.1226,trend_up,SOL_1d_regime_router,trend_following,,,
156,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
157,,,,,,1.0,,,slope=0.0090 trend=0.1277,trend_up,SOL_1d_regime_router,trend_following,,,
186,,,,,,1.0,,,range_score=0.3253,range,SOL_1d_regime_router,grid,,,
187,,,,,,1.0,,,slope=0.0076 trend=0.0936,trend_up,SOL_1d_regime_router,trend_following,,,
194,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
196,,,,,,1.0,,,range_score=0.2450,range,SOL_1d_regime_router,grid,,,
199,,,,,,1.0,,,slope=0.0075 trend=0.0966,trend_up,SOL_1d_regime_router,trend_following,,,
201,,,,,,1.0,,,range_score=0.2184,range,SOL_1d_regime_router,grid,,,
202,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
311,,,,,,1.0,,,range_score=0.1703,range,SOL_1d_regime_router,grid,,,
312,,,,,,1.0,,,slope=0.0001 trend=0.0852,trend_up,SOL_1d_regime_router,trend_following,,,
313,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
318,,,,,,1.0,,,slope=0.0016 trend=0.2300,trend_up,SOL_1d_regime_router,trend_following,,,
330,,,,,,1.0,,,range_score=0.4215,range,SOL_1d_regime_router,grid,,,
331,,,,,,1.0,,,slope=0.0041 trend=0.0413,trend_up,SOL_1d_regime_router,trend_following,,,
333,,,,,,1.0,,,range_score=0.3695,range,SOL_1d_regime_router,grid,,,
335,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
336,,,,,,1.0,,,range_score=0.3717,range,SOL_1d_regime_router,grid,,,
337,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
338,,,,,,1.0,,,slope=0.0018 trend=0.0712,trend_up,SOL_1d_regime_router,trend_following,,,
340,,,,,,1.0,,,range_score=0.3658,range,SOL_1d_regime_router,grid,,,
