bar_index,fee_bps,fee_usd,notional_usd,order_id,price,quantity,run_id,side,slippage_bps,strategy,symbol,timeframe,timestamp
75,40.0,1.0005,250.12499999999997,,68284.00494,0.0036630101034609876,BTC_1d_trend_following,buy,5.0,trend_following,BTC,1d,1722124800
92,40.0,0.8594014862004153,214.85037155010383,,58654.048305000004,0.0036630101034609876,BTC_1d_trend_following,sell,5.0,trend_following,BTC,1d,1723593600
134,40.0,0.9633469027989353,240.83672569973382,,63183.586005,0.0038116976405972803,BTC_1d_trend_following,buy,5.0,trend_following,BTC,1d,1727222400
62,40.0,1.0005,250.12499999999997,,64756.502069999995,0.0038625464934721417,BTC_1d_breakout,buy,5.0,breakout,BTC,1d,1721001600
82,40.0,0.8981489672941193,224.53724182352983,,58131.9195,0.0038625464934721417,BTC_1d_breakout,sell,5.0,breakout,BTC,1d,1722729600
101,40.0,0.9729998496526638,243.24996241316595,,64069.25861999999,0.003796672033555146,BTC_1d_breakout,buy,5.0,breakout,BTC,1d,1724371200
115,40.0,0.8191090367882083,204.77725919705208,,53935.988515000005,0.003796672033555146,BTC_1d_breakout,sell,5.0,breakout,BTC,1d,1725580800
127,40.0,0.9327149051440576,233.1787262860144,,61790.869994999994,0.003773676051249688,BTC_1d_breakout,buy,5.0,breakout,BTC,1d,1726617600
30,40.0,1.0005000000000002,250.12500000000003,,66806.396505,0.0037440277141917075,BTC_1d_mean_reversion,buy,5.0,mean_reversion,BTC,1d,1718236800
37,40.0,0.9710144114365971,242.75360285914925,,64837.555005,0.0037440277141917075,BTC_1d_mean_reversion,sell,5.0,mean_reversion,BTC,1d,1718841600
38,40.0,0.9911524169919366,247.78810424798414,,64175.631779999996,0.003861093336757863,BTC_1d_mean_reversion,buy,5.0,mean_reversion,BTC,1d,1718928000
45,40.0,0.9328034864539237,233.20087161348093,,60397.62608,0.003861093336757863,BTC_1d_mean_reversion,sell,5.0,mean_reversion,BTC,1d,1719532800
51,40.0,0.9746329728597183,243.65824321492957,,57078.535005,0.004268824404718612,BTC_1d_mean_reversion,buy,5.0,mean_reversion,BTC,1d,1720051200
83,40.0,0.9219260641385475,230.48151603463688,,53991.800595,0.004268824404718612,BTC_1d_mean_reversion,sell,5.0,mean_reversion,BTC,1d,1722816000
84,40.0,0.9595521499993189,239.88803749982972,,56050.021005,0.004279892017853664,BTC_1d_mean_reversion,buy,5.0,mean_reversion,BTC,1d,1722902400
115,40.0,0.9233608268815817,230.84020672039543,,53935.988515000005,0.004279892017853664,BTC_1d_mean_reversion,sell,5.0,mean_reversion,BTC,1d,1725580800
116,40.0,0.9486159408711253,237.15398521778133,,54187.940429999995,0.004376508561423126,BTC_1d_mean_reversion,buy,5.0,mean_reversion,BTC,1d,1725667200
37,40.0,0.4002,100.05,,64902.424994999994,0.001541544865352993,BTC_1d_grid,buy,5.0,grid,BTC,1d,1718841600
40,40.0,0.3989957447150354,99.74893617875885,,63241.615005,0.0015772673764082798,BTC_1d_grid,buy,5.0,grid,BTC,1d,1719100800
51,40.0,0.711357221783251,177.83930544581276,,57021.484995000006,0.0031188122417612728,BTC_1d_grid,sell,5.0,grid,BTC,1d,1720051200
54,40.0,0.39080723248348237,97.7018081208706,,55885.73890499999,0.0017482422176962466,BTC_1d_grid,buy,5.0,grid,BTC,1d,1720310400
83,40.0,0.3775629808384653,94.39074520961633,,53991.800595,0.0017482422176962466,BTC_1d_grid,sell,5.0,grid,BTC,1d,1722816000
27,40.0,1.0004999999999997,250.12499999999994,,69574.76999999999,0.0035950532067874604,BTC_1d_ema_crossover,buy,5.0,ema_crossover,BTC,1d,1717977600
32,40.0,0.9519001420046018,237.97503550115044,,66195.135875,0.0035950532067874604,BTC_1d_ema_crossover,sell,5.0,ema_crossover,BTC,1d,1718409600
65,40.0,0.9863905841768256,246.59764604420639,,64019.91396,0.003851889682299198,BTC_1d_ema_crossover,buy,5.0,ema_crossover,BTC,1d,1721260800
82,40.0,0.8956709637371904,223.91774093429757,,58131.9195,0.003851889682299198,BTC_1d_ema_crossover,sell,5.0,ema_crossover,BTC,1d,1722729600
102,40.0,0.9618163365356739,240.45408413391846,,64189.088505,0.003746027397089278,BTC_1d_ema_crossover,buy,5.0,ema_crossover,BTC,1d,1724457600
106,40.0,0.8841431184321344,221.0357796080336,,59005.38255,0.003746027397089278,BTC_1d_ema_crossover,sell,5.0,ema_crossover,BTC,1d,1724803200
127,40.0,0.9405414404228308,235.1353601057077,,61790.869994999994,0.0038053414707502,BTC_1d_ema_crossover,buy,5.0,ema_crossover,BTC,1d,1726617600
62,40.0,1.0005,250.12499999999997,,64756.502069999995,0.0038625464934721417,BTC_1d_donchian_breakout,buy,5.0,donchian_breakout,BTC,1d,1721001600
82,40.0,0.8981489672941193,224.53724182352983,,58131.9195,0.0038625464934721417,BTC_1d_donchian_breakout,sell,5.0,donchian_breakout,BTC,1d,1722729600
101,40.0,0.9729998496526638,243.24996241316595,,64069.25861999999,0.003796672033555146,BTC_1d_donchian_breakout,buy,5.0,donchian_breakout,BTC,1d,1724371200
115,40.0,0.8191090367882083,204.77725919705208,,53935.988515000005,0.003796672033555146,BTC_1d_donchian_breakout,sell,5.0,donchian_breakout,BTC,1d,1725580800
127,40.0,0.9327149051440576,233.1787262860144,,61790.869994999994,0.003773676051249688,BTC_1d_donchian_breakout,buy,5.0,donchian_breakout,BTC,1d,1726617600
35,40.0,1.0005,250.12499999999997,,65207.90766,0.0038358077873649104,BTC_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,BTC,1d,1718668800
42,40.0,0.9478297459068862,236.95743647672154,,61775.106995,0.0038358077873649104,BTC_1d_rsi_mean_reversion,sell,5.0,rsi_mean_reversion,BTC,1d,1719273600
43,40.0,0.9853765487841799,246.34413719604498,,60895.42249499999,0.00404536379095279,BTC_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,BTC,1d,1719360000
50,40.0,0.973775306527864,243.443826631966,,60178.475710000006,0.00404536379095279,BTC_1d_rsi_mean_reversion,sell,5.0,rsi_mean_reversion,BTC,1d,1719964800
51,40.0,0.9805146566335792,245.1286641583948,,57078.535005,0.004294585769184894,BTC_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,BTC,1d,1720051200
83,40.0,0.9274896739518219,231.87241848795549,,53991.800595,0.004294585769184894,BTC_1d_rsi_mean_reversion,sell,5.0,rsi_mean_reversion,BTC,1d,1722816000
84,40.0,0.9653428245075542,241.33570612688854,,56050.021005,0.004305720172796366,BTC_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,BTC,1d,1722902400
115,40.0,0.9289330951549944,232.23327378874862,,53935.988515000005,0.004305720172796366,BTC_1d_rsi_mean_reversion,sell,5.0,rsi_mean_reversion,BTC,1d,1725580800
116,40.0,0.9543406178956227,238.58515447390567,,54187.940429999995,0.004402919774781071,BTC_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,BTC,1d,1725667200
31,40.0,1.0005,250.125,,66077.01199500001,0.0037853557908902836,BTC_1d_bollinger_mean_reversion,buy,5.0,bollinger_mean_reversion,BTC,1d,1718323200
38,40.0,0.9707391727846848,242.6847931961712,,64111.48822,0.0037853557908902836,BTC_1d_bollinger_mean_reversion,sell,5.0,bollinger_mean_reversion,BTC,1d,1718928000
41,40.0,0.9910838483003982,247.77096207509953,,60323.44665,0.004107374094731033,BTC_1d_bollinger_mean_reversion,buy,5.0,bollinger_mean_reversion,BTC,1d,1719187200
51,40.0,0.9368342812462295,234.20857031155737,,57021.484995000006,0.004107374094731033,BTC_1d_bollinger_mean_reversion,sell,5.0,bollinger_mean_reversion,BTC,1d,1720051200
52,40.0,0.9755857932523628,243.8964483130907,,56657.104394999995,0.004304781384743952,BTC_1d_bollinger_mean_reversion,buy,5.0,bollinger_mean_reversion,BTC,1d,1720137600
83,40.0,0.9296915925206537,232.42289813016342,,53991.800595,0.004304781384743952,BTC_1d_bollinger_mean_reversion,sell,5.0,bollinger_mean_reversion,BTC,1d,1722816000
84,40.0,0.9622002762698783,240.55006906746956,,56050.021005,0.0042917034597723175,BTC_1d_bollinger_mean_reversion,buy,5.0,bollinger_mean_reversion,BTC,1d,1722902400
115,40.0,0.925909074064262,231.4772685160655,,53935.988515000005,0.0042917034597723175,BTC_1d_bollinger_mean_reversion,sell,5.0,bollinger_mean_reversion,BTC,1d,1725580800
266,40.0,0.9512338859131892,237.80847147829732,,97812.011565,0.002431280858795794,BTC_1d_bollinger_mean_reversion,buy,5.0,bollinger_mean_reversion,BTC,1d,1738627200
273,40.0,0.9309890899909615,232.74727249774037,,95730.3109,0.002431280858795794,BTC_1d_bollinger_mean_reversion,sell,5.0,bollinger_mean_reversion,BTC,1d,1739232000
286,40.0,0.9442869922457501,236.07174806143752,,91598.65644,0.0025772402919039747,BTC_1d_bollinger_mean_reversion,buy,5.0,bollinger_mean_reversion,BTC,1d,1740355200
294,40.0,0.8993366491814012,224.8341622953503,,87238.33901,0.0025772402919039747,BTC_1d_bollinger_mean_reversion,sell,5.0,bollinger_mean_reversion,BTC,1d,1741046400
327,40.0,0.931199242233532,232.799810558383,,78469.215,0.002966766145913184,BTC_1d_bollinger_mean_reversion,buy,5.0,bollinger_mean_reversion,BTC,1d,1743897600
628,40.0,0.9129300255986674,228.23250639966685,,76929.72589500001,0.002966766145913184,BTC_1d_bollinger_mean_reversion,sell,5.0,bollinger_mean_reversion,BTC,1d,1769904000
631,40.0,0.9247846030902702,231.19615077256756,,73202.412915,0.0031583132517916342,BTC_1d_bollinger_mean_reversion,buy,5.0,bollinger_mean_reversion,BTC,1d,1770163200
640,40.0,0.869414572476712,217.353643119178,,68819.53302000002,0.0031583132517916342,BTC_1d_bollinger_mean_reversion,sell,5.0,bollinger_mean_reversion,BTC,1d,1770940800
181,40.0,1.0005,250.125,,88692.313995,0.002820142904537373,BTC_1d_atr_breakout,buy,5.0,atr_breakout,BTC,1d,1731283200
182,40.0,0.9916528732913178,247.91321832282944,,87908.033995,0.002820142904537373,BTC_1d_atr_breakout,sell,5.0,atr_breakout,BTC,1d,1731369600
343,40.0,0.9962939634822628,249.0734908705657,,93489.711495,0.0026641807626488034,BTC_1d_atr_breakout,buy,5.0,atr_breakout,BTC,1d,1745280000
552,40.0,0.9822198524478389,245.55496311195972,,92169.03243,0.0026641807626488034,BTC_1d_atr_breakout,sell,5.0,atr_breakout,BTC,1d,1763337600
59,40.0,1.0005,250.12499999999997,,2944.75164,0.08493925144736483,ETH_1d_trend_following,buy,5.0,trend_following,ETH,1d,1752278400
190,40.0,0.9624646278981271,240.61615697453178,,2832.80289,0.08493925144736483,ETH_1d_trend_following,sell,5.0,trend_following,ETH,1d,1763596800
238,40.0,0.989022456442807,247.25561411070174,,3170.3043599999996,0.0779911283062746,ETH_1d_trend_following,buy,5.0,trend_following,ETH,1d,1767744000
27,40.0,1.0005,250.12499999999997,,2817.8082,0.08876580031245561,ETH_1d_breakout,buy,5.0,breakout,ETH,1d,1749513600
38,40.0,0.8147216783837523,203.68041959593808,,2294.582135,0.08876580031245561,ETH_1d_breakout,sell,5.0,breakout,ETH,1d,1750464000
56,40.0,0.9522160680165129,238.05401700412824,,2770.1243699999995,0.08593621989763885,ETH_1d_breakout,buy,5.0,breakout,ETH,1d,1752019200
22,40.0,1.0005,250.12499999999997,,2415.217005,0.10356212277496778,ETH_1d_mean_reversion,buy,5.0,mean_reversion,ETH,1d,1749081600
37,40.0,0.9963864089212554,249.09660223031383,,2405.286755,0.10356212277496778,ETH_1d_mean_reversion,sell,5.0,mean_reversion,ETH,1d,1750377600
38,40.0,0.9974732031793033,249.3683007948258,,2296.877865,0.1085683764882404,ETH_1d_mean_reversion,buy,5.0,mean_reversion,ETH,1d,1750464000
22,40.0,0.4002,100.05,,2415.217005,0.041424849109987116,ETH_1d_grid,buy,5.0,grid,ETH,1d,1749081600
38,40.0,0.39805895755267773,99.51473938816943,,2296.877865,0.04332609099708026,ETH_1d_grid,buy,5.0,grid,ETH,1d,1750464000
27,40.0,1.0005,250.12499999999997,,2817.8082,0.08876580031245561,ETH_1d_ema_crossover,buy,5.0,ema_crossover,ETH,1d,1749513600
34,40.0,0.8907452865360033,222.68632163400082,,2508.695025,0.08876580031245561,ETH_1d_ema_crossover,sell,5.0,ema_crossover,ETH,1d,1750118400
53,40.0,0.9711554113856387,242.78885284640967,,2571.635175,0.09441030174367936,ETH_1d_ema_crossover,buy,5.0,ema_crossover,ETH,1d,1751760000
27,40.0,1.0005,250.12499999999997,,2817.8082,0.08876580031245561,ETH_1d_donchian_breakout,buy,5.0,donchian_breakout,ETH,1d,1749513600
38,40.0,0.8147216783837523,203.68041959593808,,2294.582135,0.08876580031245561,ETH_1d_donchian_breakout,sell,5.0,donchian_breakout,ETH,1d,1750464000
56,40.0,0.9522160680165129,238.05401700412824,,2770.1243699999995,0.08593621989763885,ETH_1d_donchian_breakout,buy,5.0,donchian_breakout,ETH,1d,1752019200
41,40.0,1.0005,250.125,,2449.6742249999998,0.10210541362903063,ETH_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,ETH,1d,1750723200
48,40.0,0.9817670342461561,245.44175856153902,,2403.8074950000005,0.10210541362903063,ETH_1d_rsi_mean_reversion,sell,5.0,rsi_mean_reversion,ETH,1d,1751328000
134,40.0,0.9938311587730564,248.4577896932641,,3876.29718,0.0640966825183574,ETH_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,ETH,1d,1758758400
149,40.0,0.9813984432028664,245.3496108007166,,3827.80514,0.0640966825183574,ETH_1d_rsi_mean_reversion,sell,5.0,rsi_mean_reversion,ETH,1d,1760054400
184,40.0,0.9887452085742857,247.18630214357142,,3113.9562,0.07938014739692595,ETH_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,ETH,1d,1763078400
191,40.0,0.877775215549795,219.44380388744875,,2764.467075,0.07938014739692595,ETH_1d_rsi_mean_reversion,sell,5.0,rsi_mean_reversion,ETH,1d,1763683200
192,40.0,0.9591213853846988,239.7803463461747,,2771.50506,0.08651629391078026,ETH_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,ETH,1d,1763769600
261,40.0,0.9364614702650569,234.1153675662642,,2706.02631,0.08651629391078026,ETH_1d_rsi_mean_reversion,sell,5.0,rsi_mean_reversion,ETH,1d,1769731200
262,40.0,0.9515570434683208,237.8892608670802,,2453.1759749999997,0.09697195117324603,ETH_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,ETH,1d,1769817600
269,40.0,0.809148102978924,202.287025744731,,2086.0364600000003,0.09697195117324603,ETH_1d_rsi_mean_reversion,sell,5.0,rsi_mean_reversion,ETH,1d,1770422400
271,40.0,0.91417542172939,228.5438554323475,,2106.07251,0.10851661295951653,ETH_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,ETH,1d,1770595200
278,40.0,0.866974308695212,216.74357717380298,,1997.330835,0.10851661295951653,ETH_1d_rsi_mean_reversion,sell,5.0,rsi_mean_reversion,ETH,1d,1771200000
320,40.0,0.9005872030264264,225.14680075660658,,2027.49324,0.11104688110161422,ETH_1d_rsi_mean_reversion,buy,5.0,rsi_mean_reversion,ETH,1d,1774828800
22,40.0,1.0005,250.12499999999997,,2415.217005,0.10356212277496778,ETH_1d_bollinger_mean_reversion,buy,5.0,bollinger_mean_reversion,ETH,1d,1749081600
37,40.0,0.9963864089212554,249.09660223031383,,2405.286755,0.10356212277496778,ETH_1d_bollinger_mean_reversion,sell,5.0,bollinger_mean_reversion,ETH,1d,1750377600
38,40.0,0.9974732031793033,249.3683007948258,,2296.877865,0.1085683764882404,ETH_1d_bollinger_mean_reversion,buy,5.0,bollinger_mean_reversion,ETH,1d,1750464000
63,40.0,1.0005,250.12499999999997,,3373.0356749999996,0.07415427054444065,ETH_1d_atr_breakout,buy,5.0,atr_breakout,ETH,1d,1752624000
174,40.0,0.9745076823824285,243.62692059560712,,3285.4064750000002,0.07415427054444065,ETH_1d_atr_breakout,sell,5.0,atr_breakout,ETH,1d,1762214400
