asset,cost_drag_pct,data_ok,fee_bps,fees_usd,grid_key,max_drawdown_pct,risk_denial_rate,risk_denials_count,risk_rules_triggered,sharpe_ratio,slippage_bps,slippage_drag_usd,stopped_by_risk,strategy,strategy_family,timeframe,total_return_pct,trade_count,turnover_ratio,verdict,verdict_reasons
BTC,100.00000000000009,True,10.0,14.554728196903525,fee10_slip0,1.0215325143324936,0.0,0,[],0.24280890392648624,0.0,0.0,False,atr_breakout,breakout_atr,4h,0.6279060023893749,72,14.5547,blocked_costs,['cost_drag_pct=100.00']
BTC,100.00000000000134,True,10.0,26.76927559250352,fee10_slip0,7.792249978480056,0.0,0,[],0.00536231242084156,0.0,0.0,False,trend_following,trend_ema_donchian,1h,-0.19030452411955137,172,26.7693,blocked_costs,['cost_drag_pct=100.00']
BTC,99.99999999999764,True,10.0,27.859568376878453,fee10_slip0,8.097281435850135,0.0,0,[],-0.030188408277892976,0.0,0.0,False,breakout,breakout_atr,1h,-0.5293066771076838,184,27.8596,blocked_costs,['cost_drag_pct=100.00']
BTC,99.99999999999744,True,10.0,53.3247144539597,fee10_slip0,7.8390760316431605,0.0,0,[],-0.5471325200113866,0.0,0.0,False,mean_reversion,rsi_bollinger_mr,1h,-4.536118177836011,358,53.3247,blocked_costs,['cost_drag_pct=100.00']
BTC,100.00000000002896,True,10.0,0.7658938737624739,fee10_slip0,6.964191748244529,0.0,0,[],0.26201244724265,0.0,0.0,False,grid,grid,1h,2.1919343509144253,11,0.7659,insufficient_trades,['trade_count=11 < 20']
BTC,100.0000000000002,True,10.0,28.702040652004317,fee10_slip0,9.094679199675259,0.0,0,[],-0.07227611630405678,0.0,0.0,False,ema_crossover,trend_ema_donchian,1h,-0.9322016950342685,186,28.702,blocked_costs,['cost_drag_pct=100.00']
BTC,100.00000000000426,True,10.0,27.235578032572814,fee10_slip0,7.544910030769228,0.0,0,[],-0.005184319961482232,0.0,0.0,False,donchian_breakout,trend_ema_donchian,1h,-0.2825745571765083,180,27.2356,blocked_costs,['cost_drag_pct=100.00']
BTC,99.99999999999984,True,10.0,84.62431047432368,fee10_slip0,8.862927038021287,0.0,0,[],-0.7822385436995029,0.0,0.0,False,rsi_mean_reversion,rsi_bollinger_mr,1h,-6.452972957706141,568,84.6243,blocked_costs,['cost_drag_pct=100.00']
BTC,99.99999999999801,True,10.0,98.56387589283437,fee10_slip0,10.65002888070155,0.0,0,[],-1.2262102348449024,0.0,0.0,False,bollinger_mean_reversion,rsi_bollinger_mr,1h,-9.70869798302515,676,98.5639,blocked_costs,['cost_drag_pct=100.00']
BTC,100.0000000000018,True,10.0,21.45374016613725,fee10_slip0,1.5516199932086239,0.0,0,[],-0.642973841849626,0.0,0.0,False,atr_breakout,breakout_atr,1h,-1.185056968199558,144,21.4537,blocked_costs,['cost_drag_pct=100.00']
